49.5000;54.0000
56.0000;60.5000
63.5000;65.2500
81.2500;61.7500
60.5000;54.2500
42.5000;40.7500
41.7500;53.7500
47.5000;67.2500
67.0000;70.5000
91.7500;65.5000
105.0000;49.7500
88.5000;40.0000
87.7500;52.7500
72.0000;37.7500
55.0000;36.7500
53.0000;43.5000
67.7500;50.7500
74.2500;61.7500
81.0000;50.2500
80.2500;35.5000
60.5000;46.7500
66.0000;34.7500
84.5000;43.5000
96.0000;46.2500
95.7500;62.2500
109.0000;60.7500
73.7500;43.7500
31.0000;50.5000
43.2500;71.0000
65.5000;76.5000
92.5000;73.7500
119.7500;59.5000
108.7500;38.7500
87.5000;31.5000
61.5000;30.7500
39.0000;31.7500
31.2500;39.2500
